1,BIA-Hikaduwa-Galle,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,BIA,340,03:40,1030,10:30,1700,17:00,4 Hours,2500/17,2000/14
,Hikaduwa,700,07:00,1350,13:50,2020,20:20,,2500/17,
,Galle,,,,,,,,2500/17,
,,,,,,,,,,
2,Galle-Hikkaduwa-BIA,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,Galle,2030,20:30,400,04:00,1430,14:30,4 Hours,2500/17,2000/14
,Hikaduwa,2130,21:30,500,05:00,1530,15:30,,2500/17,
,BIA,,,,,,,,2500/17,
,,,,,,,,,,
3,BIA-Dambulla-Polonaruwa-Trinco-Nilaveli,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,BIA,340,03:40,1030,10:30,1700,17:00,9 Hours 35 Mins,2500/17,2000/14
,Dambula,800,08:00,1445,14:45,2115,21:15,,2500/17,
,Polonaruwa,945,09:45,1630,16:30,2300,23:00,,2500/17,
,Trincomalee,1245,12:45,1930,19:30,200,02:00,,2500/17,
,Nilaveli,,,,,,,,2500/17,
,,,,,,,,,,
4,Nilaveli-Trincomalee-Polonaruwa-Dambula-BIA,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,Nilaveli,1500,15:00,2230,22:30,900,09:00,9 Hours 30 Mins,2500/17,2000/14
,Trincomalee,1600,16:00,2330,23:30,1000,10:00,,2500/17,
,Polonoruwa,1845,18:45,215,02:15,1245,12:45,,2500/17,
,Dambulla,2030,20:30,400,04:00,1430,14:30,,2500/17,
,BIA,,,,,,,,2500/17,
,,,,,,,,,,
5,BIA-Dambulla-Polonaruwa-Baticloa-Pasikudah,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,BIA,340,03:40,1030,10:30,1700,17:00,9 Hours,2500/17,2000/14
,Dambula,800,08:00,1445,14:45,2115,21:15,,2500/17,
,Polonaruwa,945,09:45,1630,16:30,2300,23:00,,2500/17,
,Baticloa,1215,12:15,1900,19:00,130,01:30,,2500/17,
,Pasikudah,,,,,,,,2500/17,
,,,,,,,,,,
